 ------Hello World------ 
Wellcome to Hand Tracking

Elbow angle          Shoulder angle       Gripper              Rotation            
59                   80                   0                    11                  
50                   84                   0                    14                  
54                   104                  0                    23                  
55                   108                  0                    25                  
55                   110                  0                    26                  
55                   111                  0                    26                  
51                   113                  0                    30                  
51                   112                  0                    32                  
53                   114                  1                    33                  
55                   110                  1                    33                  
56                   106                  1                    32                  
56                   101                  1                    31                  
54                   93                   1                    30                  
52                   87                   1                    27                  
46                   68                   1                    23                  
46                   66                   1                    21                  
46                   65                   1                    21                  
47                   68                   1                    21                  
48                   69                   1                    22                  
50                   71                   1                    22                  
51                   72                   1                    22                  
51                   72                   1                    24                  
48                   73                   1                    26                  
47                   73                   1                    26                  
47                   73                   1                    26                  
78                   91                   0                    16                  
77                   90                   0                    16                  
61                   81                   0                    24                  
58                   80                   0                    27                  
56                   80                   0                    27                  
57                   84                   0                    28                  
57                   84                   0                    28                  
61                   90                   0                    27                  
65                   93                   0                    26                  
68                   96                   0                    25                  
70                   97                   0                    24                  
70                   95                   0                    22                  
69                   93                   0                    23                  
68                   92                   0                    23                  
62                   86                   0                    24                  
57                   82                   0                    25                  
47                   75                   0                    28                  
44                   75                   0                    30                  
43                   75                   0                    30                  
44                   77                   0                    30                  
46                   77                   0                    31                  
47                   77                   0                    31                  
48                   78                   0                    31                  
56                   86                   0                    31                  
63                   92                   0                    31                  
78                   110                  0                    31                  
84                   118                  0                    32                  
88                   122                  0                    32                  
91                   125                  0                    32                  
96                   128                  0                    32                  
98                   128                  0                    32                  
98                   128                  0                    32                  
96                   126                  0                    31                  
95                   124                  0                    31                  
53                   79                   0                    26                  
43                   68                   0                    27                  
34                   59                   0                    27                  
15                   47                   0                    24                  
14                   45                   0                    24                  
13                   44                   0                    24                  
14                   44                   0                    25                  
17                   45                   0                    25                  
28                   53                   0                    24                  
38                   63                   0                    25                  
44                   70                   0                    26                  
52                   78                   0                    26                  
73                   100                  0                    27                  
79                   109                  0                    28                  
82                   111                  0                    29                  
85                   114                  0                    30                  
90                   120                  0                    30                  
92                   122                  0                    30                  
91                   122                  0                    30                  
84                   117                  0                    29                  
81                   115                  0                    29                  
78                   113                  0                    28                  
75                   111                  0                    26                  
75                   112                  0                    25                  
74                   110                  0                    25                  
71                   109                  0                    25                  
65                   96                   0                    22                  
47                   64                   0                    6                   
5                    43                   0                    18                  
11                   43                   0                    19                  
11                   42                   0                    18                  
Thank You
